epoch,train_loss,train_acc,train_f1,train_auc,val_loss,val_acc,val_f1,val_auc
1,0.9454809427261353,0.5,0.36666666666666664,0.4701298701298701,0.7065128213480899,0.47368421052631576,0.2857142857142857,0.34615384615384615
2,0.8485849750669379,0.4342105263157895,0.4266666666666667,0.4571428571428572,0.762221075986561,0.3157894736842105,0.48,0.5
3,0.7123322957440427,0.5,0.4864864864864865,0.6415584415584416,0.6640262007713318,0.631578947368421,0.36363636363636365,0.4615384615384615
4,0.7655728145649559,0.618421052631579,0.43137254901960786,0.5809523809523809,0.6526375256086651,0.631578947368421,0.2222222222222222,0.5769230769230769
5,0.6388424697675203,0.6052631578947368,0.5,0.6761904761904761,0.6534671908930728,0.5789473684210527,0.5,0.6794871794871795
6,0.6668193622639305,0.6052631578947368,0.4444444444444444,0.6796536796536796,0.6644680719626578,0.5263157894736842,0.5263157894736842,0.5769230769230769
7,0.5681321307232505,0.6973684210526315,0.5490196078431373,0.7489177489177489,0.628226703719089,0.631578947368421,0.46153846153846156,0.7564102564102564
8,0.6484045558854153,0.5789473684210527,0.4482758620689655,0.6623376623376624,0.6458779636182284,0.47368421052631576,0.5454545454545454,0.7948717948717949
9,0.6751691573544553,0.47368421052631576,0.42857142857142855,0.6545454545454545,0.6444542188393442,0.5789473684210527,0.5,0.6666666666666666
10,0.6208641403599789,0.6710526315789473,0.4897959183673469,0.7021645021645022,0.6434428189930163,0.6842105263157895,0.0,0.6153846153846154
11,0.6063486667055833,0.5789473684210527,0.4838709677419355,0.7212121212121212,0.625153312557622,0.7368421052631579,0.6153846153846154,0.6794871794871795
12,0.5449946020778856,0.7763157894736842,0.6530612244897959,0.8173160173160172,0.6370397084637692,0.7368421052631579,0.2857142857142857,0.641025641025641
13,0.6202437281608582,0.631578947368421,0.48148148148148145,0.7177489177489177,0.6193607543644152,0.7368421052631579,0.6666666666666666,0.7692307692307693
14,0.4654304165589182,0.7631578947368421,0.7,0.9090909090909091,0.6374734765604922,0.6842105263157895,0.0,0.6923076923076923
15,0.42004246147055374,0.7763157894736842,0.6792452830188679,0.896969696969697,0.671680527298074,0.6842105263157895,0.0,0.6153846153846154
16,0.43837669334913554,0.868421052631579,0.7368421052631579,0.9073593073593073,0.6592514765890021,0.6842105263157895,0.25,0.5641025641025641
17,0.5129178150704032,0.6842105263157895,0.5862068965517241,0.8372294372294373,0.6514146578939337,0.47368421052631576,0.5,0.6538461538461539
18,0.4459052462326853,0.6973684210526315,0.6349206349206349,0.9021645021645022,0.6572017763790331,0.7368421052631579,0.4444444444444444,0.5897435897435896
19,0.42901341224971573,0.7894736842105263,0.6363636363636364,0.8961038961038961,0.6797927586655867,0.6842105263157895,0.25,0.5256410256410257
20,0.5027555462561155,0.7368421052631579,0.5833333333333334,0.8199134199134198,0.6700190493935033,0.5789473684210527,0.2,0.5128205128205128
21,0.5455942749977112,0.6842105263157895,0.5384615384615384,0.7852813852813852,0.6784160199918245,0.631578947368421,0.2222222222222222,0.5256410256410257
