fold,split,loss,acc,f1,auc,sensitivity,specificity,tn,fp,fn,tp,threshold,n_cases
1,train,0.6186682017225968,0.7236842105263158,0.6037735849056604,0.8692640692640692,0.7619047619047619,0.7090909090909091,39,16,5,16,0.44,76
1,val,0.679364329890201,0.42105263157894735,0.26666666666666666,0.43589743589743585,0.3333333333333333,0.46153846153846156,6,7,4,2,0.44,19
2,train,0.4267016429650156,0.9210526315789473,0.875,0.987012987012987,1.0,0.8909090909090909,49,6,0,21,0.44,76
2,val,0.6193607543644152,0.7368421052631579,0.6666666666666666,0.7692307692307693,0.8333333333333334,0.6923076923076923,9,4,1,5,0.44,19
3,train,0.4641346978513818,0.9605263157894737,0.926829268292683,1.0,0.8636363636363636,1.0,54,0,3,19,0.44,76
3,val,0.6177423266988051,0.7368421052631579,0.0,0.7714285714285715,0.0,1.0,14,0,5,0,0.44,19
4,train,0.5776141976055346,0.8552631578947368,0.6666666666666666,0.9579124579124578,0.5,1.0,54,0,11,11,0.44,76
4,val,0.624053817046316,0.7368421052631579,0.2857142857142857,0.6714285714285715,0.2,0.9285714285714286,13,1,4,1,0.44,19
5,train,0.6049032807350159,0.7631578947368421,0.5263157894736842,0.861952861952862,0.45454545454545453,0.8888888888888888,48,6,12,10,0.44,76
5,val,0.6589269512578061,0.5789473684210527,0.2,0.4,0.2,0.7142857142857143,10,4,4,1,0.44,19
